date,stage
2014-03-06 09:00:00, 0
2014-03-06 15:44:00, 2.0
2014-03-06 22:00:00, 0.0
2014-03-07 09:00:00, 0
2014-03-08 09:00:00, 0
2014-03-09 09:00:00, 0
2014-03-10 09:00:00, 0
2014-03-11 09:00:00, 0
2014-03-12 09:00:00, 0
2014-03-13 09:00:00, 0
2014-03-14 09:00:00, 0
2014-03-15 09:00:00, 0
2014-03-16 09:00:00, 0
2014-03-17 09:00:00, 0
2014-03-18 09:00:00, 0
2014-03-19 09:00:00, 0
2014-03-20 09:00:00, 0
2014-03-21 09:00:00, 0
2014-03-22 09:00:00, 0
2014-03-23 09:00:00, 0
2014-03-24 09:00:00, 0
2014-03-25 09:00:00, 0
2014-03-26 09:00:00, 0
2014-03-27 09:00:00, 0
2014-03-28 09:00:00, 0
2014-03-29 09:00:00, 0
2014-03-30 09:00:00, 0
2014-03-31 09:00:00, 0
2014-04-01 09:00:00, 0
2014-04-02 09:00:00, 0
2014-04-03 09:00:00, 0
2014-04-04 09:00:00, 0
2014-04-05 09:00:00, 0
2014-04-06 09:00:00, 0
2014-04-07 09:00:00, 0
2014-04-08 09:00:00, 0
2014-04-09 09:00:00, 0
2014-04-10 09:00:00, 0
2014-04-11 09:00:00, 0
2014-04-12 09:00:00, 0
2014-04-13 09:00:00, 0
2014-04-14 09:00:00, 0
2014-04-15 09:00:00, 0
2014-04-16 09:00:00, 0
2014-04-17 09:00:00, 0
2014-04-18 09:00:00, 0
2014-04-19 09:00:00, 0
2014-04-20 09:00:00, 0
2014-04-21 09:00:00, 0
2014-04-22 09:00:00, 0
2014-04-23 09:00:00, 0
2014-04-24 09:00:00, 0
2014-04-25 09:00:00, 0
2014-04-26 09:00:00, 0
2014-04-27 09:00:00, 0
2014-04-28 09:00:00, 0
2014-04-29 09:00:00, 0
2014-04-30 09:00:00, 0
2014-05-01 09:00:00, 0
2014-05-02 09:00:00, 0
2014-05-03 09:00:00, 0
2014-05-04 09:00:00, 0
2014-05-05 09:00:00, 0
2014-05-06 09:00:00, 0
2014-05-07 09:00:00, 0
2014-05-08 09:00:00, 0
2014-05-09 09:00:00, 0
2014-05-10 09:00:00, 0
2014-05-11 09:00:00, 0
2014-05-12 09:00:00, 0
2014-05-13 09:00:00, 0
2014-05-14 09:00:00, 0
2014-05-15 09:00:00, 0
2014-05-16 09:00:00, 0
2014-05-17 09:00:00, 0
2014-05-18 09:00:00, 0
2014-05-19 09:00:00, 0
2014-05-20 09:00:00, 0
2014-05-21 09:00:00, 0
2014-05-22 09:00:00, 0
2014-05-23 09:00:00, 0
2014-05-24 09:00:00, 0
2014-05-25 09:00:00, 0
2014-05-26 09:00:00, 0
2014-05-27 09:00:00, 0
2014-05-28 09:00:00, 0
2014-05-29 09:00:00, 0
2014-05-30 09:00:00, 0
2014-05-31 09:00:00, 0
2014-06-01 09:00:00, 0
2014-06-02 09:00:00, 0
2014-06-03 09:00:00, 0
2014-06-04 09:00:00, 0
2014-06-05 09:00:00, 0
2014-06-06 09:00:00, 0
2014-06-07 09:00:00, 0
2014-06-08 09:00:00, 0
2014-06-09 09:00:00, 0
2014-06-10 09:00:00, 0
2014-06-11 09:00:00, 0
2014-06-11 18:26:00, 1.0
2014-06-11 22:00:00, 0.0
2014-06-12 09:00:00, 0
2014-06-12 17:49:00, 1.0
2014-06-12 21:04:00, 0.0
2014-06-13 09:00:00, 0
2014-06-14 09:00:00, 0
2014-06-15 09:00:00, 0
2014-06-16 09:00:00, 0
2014-06-17 09:00:00, 0
2014-06-17 17:20:00, 1.0
2014-06-17 19:27:00, 0.0
2014-06-18 09:00:00, 0
2014-06-19 09:00:00, 0
2014-06-20 09:00:00, 0
2014-06-21 09:00:00, 0
2014-06-22 09:00:00, 0
2014-06-23 09:00:00, 0
2014-06-24 09:00:00, 0
2014-06-25 09:00:00, 0
2014-06-26 09:00:00, 0
2014-06-27 09:00:00, 0
2014-06-28 09:00:00, 0
2014-06-29 09:00:00, 0
2014-06-30 09:00:00, 0
2014-07-01 09:00:00, 0
2014-07-02 09:00:00, 0
2014-07-03 09:00:00, 0
2014-07-04 09:00:00, 0
2014-07-05 09:00:00, 0
2014-07-06 09:00:00, 0
2014-07-07 09:00:00, 0
2014-07-08 09:00:00, 0
2014-07-09 09:00:00, 0
2014-07-10 09:00:00, 0
2014-07-11 09:00:00, 0
2014-07-12 09:00:00, 0
2014-07-13 09:00:00, 0
2014-07-14 09:00:00, 0
2014-07-15 09:00:00, 0
2014-07-16 09:00:00, 0
2014-07-17 09:00:00, 0
2014-07-18 09:00:00, 0
2014-07-19 09:00:00, 0
2014-07-20 09:00:00, 0
2014-07-21 09:00:00, 0
2014-07-22 09:00:00, 0
2014-07-23 09:00:00, 0
2014-07-24 09:00:00, 0
2014-07-25 09:00:00, 0
2014-07-26 09:00:00, 0
2014-07-27 09:00:00, 0
2014-07-28 09:00:00, 0
2014-07-29 09:00:00, 0
2014-07-30 09:00:00, 0
2014-07-31 09:00:00, 0
2014-08-01 09:00:00, 0
2014-08-02 09:00:00, 0
2014-08-03 09:00:00, 0
2014-08-04 09:00:00, 0
2014-08-05 09:00:00, 0
2014-08-06 09:00:00, 0
2014-08-07 09:00:00, 0
2014-08-08 09:00:00, 0
2014-08-09 09:00:00, 0
2014-08-10 09:00:00, 0
2014-08-11 09:00:00, 0
2014-08-12 09:00:00, 0
2014-08-13 09:00:00, 0
2014-08-14 09:00:00, 0
2014-08-15 09:00:00, 0
2014-08-16 09:00:00, 0
2014-08-17 09:00:00, 0
2014-08-18 09:00:00, 0
2014-08-19 09:00:00, 0
2014-08-20 09:00:00, 0
2014-08-21 09:00:00, 0
2014-08-22 09:00:00, 0
2014-08-23 09:00:00, 0
2014-08-24 09:00:00, 0
2014-08-25 09:00:00, 0
2014-08-26 09:00:00, 0
2014-08-27 09:00:00, 0
2014-08-28 09:00:00, 0
2014-08-29 09:00:00, 0
2014-08-30 09:00:00, 0
2014-08-31 09:00:00, 0
2014-09-01 09:00:00, 0
2014-09-02 09:00:00, 0
2014-09-03 09:00:00, 0
2014-09-04 09:00:00, 0
2014-09-05 09:00:00, 0
2014-09-06 09:00:00, 0
2014-09-07 09:00:00, 0
2014-09-08 09:00:00, 0
2014-09-09 09:00:00, 0
2014-09-10 09:00:00, 0
2014-09-11 09:00:00, 0
2014-09-12 09:00:00, 0
2014-09-13 09:00:00, 0
2014-09-14 09:00:00, 0
2014-09-15 09:00:00, 0
2014-09-16 09:00:00, 0
2014-09-17 09:00:00, 0
2014-09-18 09:00:00, 0
2014-09-19 09:00:00, 0
2014-09-20 09:00:00, 0
2014-09-21 09:00:00, 0
2014-09-22 09:00:00, 0
2014-09-23 09:00:00, 0
2014-09-24 09:00:00, 0
2014-09-25 09:00:00, 0
2014-09-26 09:00:00, 0
2014-09-27 09:00:00, 0
2014-09-28 09:00:00, 0
2014-09-29 09:00:00, 0
2014-09-30 09:00:00, 0
2014-10-01 09:00:00, 0
2014-10-02 09:00:00, 0
2014-10-03 09:00:00, 0
2014-10-04 09:00:00, 0
2014-10-05 09:00:00, 0
2014-10-06 09:00:00, 0
2014-10-07 09:00:00, 0
2014-10-08 09:00:00, 0
2014-10-09 09:00:00, 0
2014-10-10 09:00:00, 0
2014-10-11 09:00:00, 0
2014-10-12 09:00:00, 0
2014-10-13 09:00:00, 0
2014-10-14 09:00:00, 0
2014-10-15 09:00:00, 0
2014-10-16 09:00:00, 0
2014-10-17 09:00:00, 0
2014-10-18 09:00:00, 0
2014-10-19 09:00:00, 0
2014-10-20 09:00:00, 0
2014-10-21 09:00:00, 0
2014-10-22 09:00:00, 0
2014-10-23 09:00:00, 0
2014-10-24 09:00:00, 0
2014-10-25 09:00:00, 0
2014-10-26 09:00:00, 0
2014-10-27 09:00:00, 0
2014-10-28 09:00:00, 0
2014-10-29 09:00:00, 0
2014-10-30 09:00:00, 0
2014-10-31 09:00:00, 0
2014-11-01 09:00:00, 0
2014-11-02 08:00:00, 2.0
2014-11-02 09:00:00, 0
2014-11-02 22:00:00, 0.0
2014-11-03 09:00:00, 0
2014-11-04 09:00:00, 0
2014-11-05 09:00:00, 0
2014-11-06 09:00:00, 0
2014-11-07 09:00:00, 0
2014-11-08 09:00:00, 0
2014-11-09 09:00:00, 0
2014-11-10 09:00:00, 0
2014-11-11 09:00:00, 0
2014-11-12 09:00:00, 0
2014-11-13 09:00:00, 0
2014-11-14 09:00:00, 0
2014-11-15 09:00:00, 0
2014-11-16 09:00:00, 0
2014-11-17 09:00:00, 0
2014-11-18 09:00:00, 0
2014-11-19 09:00:00, 0
2014-11-20 09:00:00, 0
2014-11-21 09:00:00, 0
2014-11-21 13:17:00, 1.0
2014-11-21 16:10:00, 2.0
2014-11-21 22:30:00, 0.0
2014-11-22 06:00:00, 2.0
2014-11-22 09:00:00, 0
2014-11-22 20:20:00, 0.0
2014-11-23 06:00:00, 1.0
2014-11-23 09:00:00, 0
2014-11-23 14:30:00, 2.0
2014-11-23 22:00:00, 0.0
2014-11-24 09:00:00, 0
2014-11-25 09:00:00, 0
2014-11-26 09:00:00, 0
2014-11-27 09:00:00, 0
2014-11-28 09:00:00, 0
2014-11-29 06:00:00, 2.0
2014-11-29 09:00:00, 0
2014-11-29 21:00:00, 0.0
2014-11-30 08:00:00, 1.0
2014-11-30 09:00:00, 0
2014-11-30 21:30:00, 0.0
2014-12-01 09:00:00, 0
2014-12-02 09:00:00, 0
2014-12-03 09:00:00, 0
2014-12-04 09:00:00, 0
2014-12-04 16:00:00, 2.0
2014-12-04 22:42:00, 0.0
2014-12-05 09:00:00, 0
2014-12-05 11:00:00, 2.0
2014-12-05 12:22:00, 3.0
2014-12-05 22:00:00, 0.0
2014-12-06 06:00:00, 2.0
2014-12-06 08:00:00, 3.0
2014-12-06 09:00:00, 0
2014-12-06 20:00:00, 2.0
2014-12-06 22:00:00, 0.0
2014-12-07 07:00:00, 2.0
2014-12-07 09:00:00, 0
2014-12-07 22:00:00, 0.0
2014-12-08 08:00:00, 1.0
2014-12-08 09:00:00, 0
2014-12-08 21:23:00, 0.0
2014-12-09 09:00:00, 0
2014-12-10 09:00:00, 0
2014-12-11 09:00:00, 0
2014-12-12 09:00:00, 0
